18,#genre#
松1,https://z88.ubtvfans.com:443/live/rx3/402/2d5f45ef7b7b90e9b47c6963be6d5120/index.m3u8
松2,https://z88.ubtvfans.com:443/live/rx3/403/169cf37c3b80aa73066703f16f161f7d/index.m3u8
松3,https://z88.ubtvfans.com:443/live/rx3/404/f879380802739b846ed31d934c19b4de/index.m3u8
潘多拉,https://z88.ubtvfans.com:443/live/rx3/410/65c496a8a32fe34c9af6b1dce9988f28/index.m3u8
彩电,https://z88.ubtvfans.com:443/live/rx3/413/f39876dcbac1ca67fd1c1015cfc2af27/index.m3u8
彩e,https://z88.ubtvfans.com:443/live/rx3/406/6a7f30cbbe921e9a6809d4a8c131aef1/index.m3u8
极限,https://z88.ubtvfans.com:443/live/rx3/405/f72f337b1279855143cddce063a60cd6/index.m3u8
彩k,https://z88.ubtvfans.com:443/live/rx3/415/24833f79298189b7d1b60e9d59af0018/index.m3u8
香蕉,http://125.227.210.55:22522/VideoInput/play.ts
潘多拉,https://18.svi-studio.com/live/673960949860/294164781253/3.m3u8
香蕉台,https://18.svi-studio.com/live/673960949860/294164781253/4.m3u8
松视1,https://18.svi-studio.com/live/673960949860/294164781253/5.m3u8
松视2,https://18.svi-studio.com/live/673960949860/294164781253/6.m3u8
惊艳台,https://18.svi-studio.com/live/673960949860/294164781253/01.m3u8
