YouTube,#genre#
中文国际,https://www.youtube.com/watch?v=bEZYrBMYNNg
民视新闻,https://www.youtube.com/watch?v=ylYJSBUgaMA
台视新闻,https://www.youtube.com/watch?v=xL0ch83RAK8
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
公视新闻,https://www.youtube.com/watch?v=quwqlazU-c8
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
tvbsHD,https://www.youtube.com/watch?v=YvdcZ_jpLXE
tvbs NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
中天新闻,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE
东森新闻,https://www.youtube.com/watch?v=2dfAzcDf8Zg
万秀猪王,https://www.youtube.com/watch?v=ADDSmXoPDY8
