精彩漫画小说（1171个听书）推荐,#genre#
🎉都市爽文🤞《刚大学毕业，我让女神老师休产假》EP1~405  大学刚毕业，我就让女神老师放产假！林风被女友甩后，没想与学校女神老师发生了一夜邂逅！都市  爽文 小說 小说,https://www.youtube.com/watch?v=8huu0jA1GYw
🎉都市爽文🤞《悍匪系统，逼我多子多福》EP1~149  恭喜宿主，触发系统任务。任务要求：请于24小时内绑架一名名气值过百万的女明星...都市  爽文 小說 小说,https://www.youtube.com/watch?v=gxsyzOlOGVE
🎉历史架空🤞《穿成董卓逆子，开局截杀穿越者》EP1~145  董宋魂穿东汉末年，成为董卓独子。还没有来得及去感受如山一般的父爱，董宋就激活了截杀系统。历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=6-zmZg3MkTs
🎉玄幻爽文🤞《寒门斩神录：我的刀可劈开万族天梯！》EP1~310  神明在星空俯瞰，恶魔在地狱咆哮。    这是一个万族争雄，神魔乱舞的奇幻世界。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=RM5LTWfmIWM
🎉玄幻爽文🤞《最强金手指，每天蕴育万亿仙帝》EP1~239  秦政穿越玄幻，成为大秦皇帝，获得属性兵种转生池，每天可蕴育百万毁灭、时间、空间、诅咒、灵魂、光影等属性兵种玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=NCC7zq0mFCU
🎉都市爽文🤞《通知全国，那个男人出狱了》EP1~410 三年前，师门被毁，莫海因为一个约定，自废修为，主动入狱！三年后，期限已至，莫海以无敌之姿态，强势回归，震杀四方！都市  爽文 小說 小说,https://www.youtube.com/watch?v=38-v8wFugYs
🎉历史架空🤞《大明：我教朱元璋当皇帝》EP1~594  穿越成大明第一功臣李善长幼子，李泰费尽心思想要让他爹趁早辞官，可他老爹的一个同僚总缠着他问东问西。历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=wyfUH6JM3NY
🎉玄幻爽文🤞《我诸天圣师！女帝为我守灵百年》EP1~165  我叫陈长生，曾经是个穿越者，本想轰轰烈烈的过一生，绑定收徒返还系统，收徒就能获得奖励玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=J56pa5TjAzc
🎉都市爽文🤞《人人养尸：我的僵尸女帝一秒一个进化点！》EP1~98 全民僵尸时代降临，所有人都能召唤自己的本命僵尸，通过不断地培养，让其进化为僵尸始祖！都市  爽文 小說 小说,https://www.youtube.com/watch?v=JJcgh1GUvOY
🎉都市爽文🤞《高武：让你参军，你成五星军神了？》EP1~396 蓝星与游戏融合，进入转职时代。凌霄虽然只觉醒了E级召唤师天赋，却丝毫不慌。拥有金词条系统的他吊打各路天才都市  爽文 小說 小说,https://www.youtube.com/watch?v=yjWHhcDzVGU
🎉都市爽文🤞《全民：我D级守门人，抬手便是万里河山》EP1~168 异族入侵，山河破碎风飘絮。觉醒D级天赋山河匠人，被万众嘲笑的D级，抬手间便召唤万里山河镇压一切异族！都市  爽文 小說 小说,https://www.youtube.com/watch?v=32buN4tm800
【完结】🎉历史架空🤞《大秦：我公子扶苏，觉醒拘灵遣将》苏城穿越到了大秦，成为秦始皇长子扶苏，在即将被发派到上郡时，他觉醒八奇技修炼系统之拘灵遣将！历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=hA-A91mAv2E
🎉都市爽文🤞《让你给病娇当舔狗，你成魅魔了？》EP1~325 因为一张脸，给林汐月当了一年舔狗，醉酒后却喊出青梅的名字。 他因此被甩，被迫上了一个冷傲病娇大小姐的床。都市  爽文 小說 小说,https://www.youtube.com/watch?v=gErgzQgeStU
🎉动漫衍生🤞《火影：一统忍界后立地成仙》EP1~330  我叫夏佑，穿越到了一个由七大平行火影世界组成的时空矩阵，系统提示只要完成七个火影世界的统一后，就能立地成仙，永劫不死。爽文 小說 小说,https://www.youtube.com/watch?v=cnfyw3gMRFE
🎉都市爽文🤞《大一开学，我拥有神豪返现系统》EP1~181 李霄在高考后激活了神豪系统。消费就能够获得暴击，只要消费钱就会越来越多，他觉得要游戏人间，享受世界。都市  爽文 小說 小说,https://www.youtube.com/watch?v=8Zej3Y-FHpM
🎉都市爽文🤞《高武：舔狗第一天，混沌种青莲》EP1~468 穿越到蓝星高武世界，身份是东南域第一武道世家少主。天赋平平的他，原本想靠着无敌家室躺平，结果老师临终前托孤。都市  爽文 小說 小说,https://www.youtube.com/watch?v=xv3DdEt0tOo
🎉玄幻爽文🤞《奴籍开局：预支神功后我卷崩修仙界！》EP1~229  打破胎中谜障，再睁开眼。在这个兵荒马乱的陌生王朝，季修茫然四顾，只见世道艰辛，求生不易。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=dBOzqAmhtOA
🎉玄幻爽文🤞《大唐：穿越失误，系统将我变成僵尸》EP1~565  绝症患者洛渊，偶然间获得了系统。并且可以给他提供一次转世重生的机会，他穿越到的是大唐贞观年间。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=nRJ2aEB1Q1E
🎉玄幻爽文🤞《修仙：我用磁场证道》EP1~181  周清身具磁场异能，穿越修仙界，不具有灵根，那就开辟以磁场为根基的修行之路。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=nS4ceOHujiM
🎉都市爽文🤞《我飞升了，但却飞升到了地球》EP1~341 宁望舒穿越修仙界近万年，终于成为仙道第一人，得道飞升。然而，飞升后他却发现回到了地球，并且高考即将到来…都市  爽文 小說 小说,https://www.youtube.com/watch?v=Z_OlTV2yr9U
🎉玄幻爽文🤞《宗门尽弃师尊后，宠妻系统来了！》EP1~196  北域最强天骄苏婉卿，因急于突破境界，导致一身修为尽失。从前，她是世人眼中无所不能的天骄。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=QAx7pBFoV7s
🎉玄幻爽文🤞《长生：天赋借命，杀我献祭你全家》EP1~104  意外穿越修真界，开局寿元无尽，觉醒天赋借命，如果被杀死，随机献祭仇家至亲，复活自己，并随机获得一项能力。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=g_V0ABmao0E
【完结】🎉都市爽文🤞《规则怪谈：SSS天赋？我换着玩》 江然与平行世界的自己灵魂互换，来到了怪谈世界中，一条又一条真假难辨的规则，一个又一个不怀好意的诡异。都市  爽文 小說 小说,https://www.youtube.com/watch?v=W9xTsNdRsy0
【完结】🎉都市爽文🤞《睡觉就能穿越，开局吻了未来女帝》 你听说过牛郎与织女吗？天上一天，地上一年，最后他们化为彼此相望的星辰，每年只能见上一次面。都市  爽文 小說 小说,https://www.youtube.com/watch?v=iQ9BF-8m-5E
🎉都市爽文🤞《总裁姐姐，追爱弟弟！》EP1~102 贵市江家小公子江夜，与姜氏集团女总裁姜倾月，两家老爷子定下的娃娃亲，让姜倾月认定非江夜不嫁。都市  爽文 小說 小说,https://www.youtube.com/watch?v=0kbleu5Aqxc
🎉玄幻爽文🤞《退婚后，小姨子反手与我双修》EP1~172  陆沉舟惨遭未婚妻退婚，不料，小姨子反手便将他抢走，要他双修帮助小姨子解毒。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=7OykqPZAt-s
🎉都市爽文🤞《反派：大嫂，你别过来啊》EP1~189 王华穿越了，听到大嫂要过来找他，直接吓得哀求，我真的只是一个小角色，别来找我啊。都市  爽文 小說 小说,https://www.youtube.com/watch?v=bL3mrf9Sm1U
🎉都市爽文🤞《高武：重生成机甲，校花天天开我》EP1~59 安澜穿越高武世界，成了一台无人问津的机甲，别的穿越者呼风唤雨，他却被困在魔武仓库，一呆就是三年。都市  爽文 小說 小说,https://www.youtube.com/watch?v=NzW4-QrIn7w
🎉都市爽文🤞《看见血条的我，选择打爆世界》EP1~609  世人皆说道消魔长、天劫将至，周元却不认同。不死不灭的妖魔？那是游戏怪物刷新。洞天福地、玄奇秘境？那是游戏副本都市  爽文 小說 小说,https://www.youtube.com/watch?v=nq-ABLnxvpU
【完结】🎉都市爽文🤞《斗罗：开局十生武魂被赐婚千仞雪》 觉醒仪式上，张浩十魂觉醒，震惊天外，被当场赐婚千仞雪，成为武魂殿教皇继承人。都市  爽文 小說 小说,https://www.youtube.com/watch?v=x-UCV4X5hLc
🎉都市爽文🤞《末日苟帝：从药罐丧尸到装死天花板！》EP1~380 末日降临，富二代路飞被同学针对，被班长暗算，感染了丧尸病毒。巧合之下，变成了拥有人类意识的丧尸。都市  爽文 小說 小说,https://www.youtube.com/watch?v=u_3UVd0dm7A
🎉历史架空🤞《大明：无双好圣孙，请老朱退位》EP1~219  朱高赤莫名其妙地来到了大明王朝，还成了一个四五岁的小胖墩朱高炽，为了避免英年早逝，他也只能含泪疯狂锻炼。历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=Sl6VdQr0_p8
🎉玄幻爽文🤞《全员皇帝：把修仙界给整不会了 》EP1~150  华夏正统皇朝的所有皇帝，同时降临修仙界。他们分散各地，每人都有辅助型系统‘小帝’，首要任务就是汇合相认。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=DY7KlX8E_lc
