短剧预告,#genre#
白眼狼男友在夜店和别的女生搂搂抱抱，气得我直接一杯酒倒在他头上，让他知道谁才是他“爸爸”~《大小姐的华丽冒险》 drama 短剧推荐 霸总 chinesedrama 热门短剧,https://www.youtube.com/watch?v=VJHjaN0L_bQ
八年前我为了他舍弃了前途，今天终于是新婚夜了，他却要我去陪其他人！现在还误会我是躺着的人~ drama 短剧推荐 爱情 霸总 愛情 热门短剧,https://www.youtube.com/watch?v=peW-H7wFaAw
八年前我为了他舍弃了前途，今天终于是新婚夜了，他却要我去陪其他人！ drama 短剧推荐 爱情 霸总 愛情 热门短剧,https://www.youtube.com/watch?v=tr2erwvVD9M
最新短剧推荐【经典全集】,#genre#
[MULTI SUB] 「跨时空恋人你的吻救了我」（95集）张宇轩&李灼一短剧 热门短剧,https://www.youtube.com/watch?v=QgwYA_nJGX4
[MULTI SUB] 「我在九零年代发家致富」（79集）张灿|这是部穿越励志剧。1998年除夕夜，王家音因父赌博家庭陷入困境，绝望中穿越到 2018年，发现可利用现代物品在九十年代卖爆热门短剧,https://www.youtube.com/watch?v=CfPgKpE-sJc
[MULTI SUB] 「斯文医生脸红红追着老婆哄」（94集）朱湉亿&赵垣又短剧 热门短剧,https://www.youtube.com/watch?v=Bi3v-ZuJANU
[MULTI SUB] 「穿书八零我跟冰山男配领证了」（76集）陈冠峄短剧 热门短剧,https://www.youtube.com/watch?v=pAXFf4xzj2o
[MULTI SUB] 「来得及说我爱你」（70集）董玥妤&谢鸿鑫|民国乱世，军阀割据。江北地区，督军沈御山为获得绝对权力将大帅孟廷恩一家灭门。短剧 热门短剧,https://www.youtube.com/watch?v=Dp0yB0vV8tk
[MULTI SUB] 「凰权弃旧裳」（83集）|现代暴脾气女兽医穿书成古代被休弃的苏玉婉，原主辛苦供养丈夫沈序高中，却遭休妻谋害。重生后的苏玉婉不再隐忍。短剧 热门短剧,https://www.youtube.com/watch?v=WevonS5seXk
[MULTI SUB] 「这届师妹不好带」（80集）金宁|鹿呦呦因为意外，突然穿到正在看的一本后宫修真文里，为了改变未来结局，每日都在努力让自己变强，成了灵力超强的绝佳修士短剧 热门短剧,https://www.youtube.com/watch?v=biHQ2QqT5vI
[MULTI SUB] 「我在冷宫养崽崽」（92集）陈冠峄＆雷笑语|穿越几世的宁宜臻意外重生到第一世，这一世她是被打入冷宫的废后，身怀龙凤胎即将临盆。重生的她，决定在冷宫好好抚养孩子短剧 热门短剧,https://www.youtube.com/watch?v=89DBJn6SaJ0
[MULTI SUB] 「撩错人攀高门」（73集）王朝阳&桉淇|郁家破产，郁惊画为求助误入明水公馆，错撩谢家家主谢与。许思遥逼债时，谢与救下她并带回庄园。相处中，谢与被郁惊画打动短剧 热门短剧,https://www.youtube.com/watch?v=iHG3caXOlSA
[MULTI SUB] 「 换亲后我顺便换了江山很合理吧」李是侥&至春禾|吕颂梨穿成炮灰原配。被太后赐婚给早死鬼秦晟，嫁入将被流放的秦家后，她努力谋掌天下，最终与秦晟二圣临朝。短剧 热门短剧,https://www.youtube.com/watch?v=_ag6wWreMvo
[MULTI SUB] 「盛夏轻吻你」（72集）苏宇航＆苏语桐|社恐女初羽撞见男友羞辱视频后分手，与洁癖学长沈湮合租。她渴肤症复发误会沈湮是男模。两人终双向奔赴，盛夏轻吻见证圆满。短剧 热门短剧,https://www.youtube.com/watch?v=JS6e-s3i92g
[MULTI SUB] 「谋她一世诰命」（80集）冯伊洋＆杨洛仟|前世景飞鸢被赵灵杰母子害死，重生后反杀赵钱氏，获得《麒麟药典》。她揭露赵灵杰天阉真相，与骄阳郡主斗智斗勇。短剧 热门短剧,https://www.youtube.com/watch?v=XTnLNnU31J0
[MULTI SUB] 「侧妃娇软薄情太子轻点宠」（80集）廖慧敏&蒙恩|新晋女演员穿到书中成为惨死炮灰女配沈梨初，凭借记忆和智慧，攻略冷漠寡情的太子谢怀景，谢怀景逐渐沦陷。短剧 热门短剧,https://www.youtube.com/watch?v=51pWMIZQeG0
[MULTI SUB] 「夺回校花人生」（60集）李艾笑&危梓彤|陆清本是全能校花，但她没想到，自己的亲哥哥跟青梅竹马，却为了贫困生陈思思，在她身上绑定减肥系统，她越减肥陈思思就越瘦，陆清决定反击,https://www.youtube.com/watch?v=EpsOqGBmQYU
[MULTI SUB] 「问君几许」（91集）刘承林|现代医学博士姜柠穿书成为1970年代替嫁新娘，嫁给沈墨。她想离婚，但在相处中逐渐被沈墨吸引。最终，姜柠揭穿姜婷的阴谋，与沈墨喜结连理。,https://www.youtube.com/watch?v=z-EOI6sggsQ
[MULTI SUB] 「我本微末凡尘」（91集）黄浩雯&郭宇欣|十六岁的沈珠楹，对穿白衬衫的少年傅斯灼一见钟情。此后八年，她的爱意都藏在一次次错过里。直到第十一年春，傅斯灼才看到那封迟到五年的情书。,https://www.youtube.com/watch?v=Xvog7jpTRD8
[MULTI SUB] 「娇肆为饵钓你入怀」（88集）张屹杨&王煜可晴|姜郁为在宋家生存装疯卖傻，外公死后立遗嘱赠其家产反遭虐待。为复仇，她设计攀上金州太子爷贺敛；贺敛识破却甘当利刃短剧 热门短剧,https://www.youtube.com/watch?v=JCleYMIStgY
[MULTI SUB] 「周教授我们结婚吧」（82集）卡戎&龚芳妮|辛知遥意外和自己的大学教授周霁共度一夜并怀孕，正当她忐忑无助之时，周霁提出了结婚，两人开启了分房而居的隐婚生活。短剧 热门短剧,https://www.youtube.com/watch?v=BSOx_HoVj5U
[MULTI SUB] 「 急我养成过的穷鬼变储君了」（87集）陈云廷&杨馥羽|短剧 热门短剧,https://www.youtube.com/watch?v=xA5RKazV86k
