災變論,#genre#
【災變論】為什麼《明天過後》（《後天》）一定會來？這部21年前的科幻片，正在變成紀錄片，我們正面臨南極「末日冰川」的融化和北極「極地渦旋」的崩潰……|自說自話的總裁,https://www.youtube.com/watch?v=ac3rsrn_OUQ
【災變論】太平洋中發現上千個海底孔洞，或預示著一場全球性的超級災變？|自說自話的總裁,https://www.youtube.com/watch?v=WH8l13NozoA
進化論為何被推上神壇？《2012》難道不是科幻？原來，除了進化論，還有另一套學說可以解釋地球、生命和物種的故事，它竟然還和我們的神話，以及末日洪水的真相有關……|自說自話的總裁,https://www.youtube.com/watch?v=Zu95yxVY93U
132年前，一位火山專家深入爪哇森林，他發現了無法解釋的古代遺跡……7萬年前，人類遭遇巨災，全球人口只剩下1000人？科學or預言？巨災將在2036年，再次降臨……|自說自話的總裁,https://www.youtube.com/watch?v=4VcNp6jP8o0
AI & 未來,#genre#
『我』：究竟是什麼？20年前，一位奇才用神經學為《金剛經》做註解，帶我們看清了『我』的真相……|自說自話的總裁,https://www.youtube.com/watch?v=aZv-Isnwh4U
深挖：3萬年前的『硅基文明』？西伯利亞巨石中出現了高溫熔化痕跡和一個人類尚未掌握的科技——六方矽（硅）……|自說自話的總裁,https://www.youtube.com/watch?v=ZCbdYGTBFcs
BlackRock：操控世界的公司？這是深層政府故意露出的冰山一角嗎？|自說自話的總裁,https://www.youtube.com/watch?v=fMlQD90cA8A
AI終究毀滅人類？這或許只是我們作為『螞蟻』的一廂情願……|自說自話的總裁,https://www.youtube.com/watch?v=ekGgX6rxGQU
50年前，一個英國小夥立志創造AI，可他的理論卻，被嘲諷、被忽視、被主流拋棄，但他依舊堅持，終於在40年後，等到一個奇跡，AI從他手中誕生，而如今他卻是發誓要毀滅AI的戰士……|自說自話的總裁,https://www.youtube.com/watch?v=2wJ3UGQtyJA
諾獎文豪的科幻故事：當機器人領悟人心，人類還有何必要存在？又或許，人性就是殘缺的藝術品？|自說自話的總裁,https://www.youtube.com/watch?v=e7XncCqxTzU
馬斯克2025年最新預言：三件事，分別在5年內、10年內、20年內實現，而且包括他最近的怪誕行為，竟然也與這三件事有關？難道真的，未來已來……|自說自話的總裁,https://www.youtube.com/watch?v=ffjIA4ZcVWM
與佛有關,#genre#
『我』：究竟是什麼？20年前，一位奇才用神經學為《金剛經》做註解，帶我們看清了『我』的真相……|自說自話的總裁,https://www.youtube.com/watch?v=aZv-Isnwh4U
金剛經：時間不存在？自我是虛擬？2500年前，佛究竟想跟我們説什麽？他似乎早就知道宇宙的答案，用《金剛經》為我們留下了洞悉一切的智慧……|自說自話的總裁,https://www.youtube.com/watch?v=1pEC9TCCsik
法顯：繼承八戒遺志的人，豬（朱）八戒被誤讀千年，而法顯，那年62歲，選擇像八戒一樣走進大漠和雪山……原來，西天取經的真相，遠不止九九八十一難……|自說自話的總裁,https://www.youtube.com/watch?v=nqb4r4ifTmA
鳩摩羅什：現實中的牛魔王，為了傳法，不惜破戒，來到東土，真如課本所說，他只是一個翻譯家嗎？其實，是他讓佛的智慧在我們文化中扎根，我們至今保留著很多他的翻譯……|自說自話的總裁,https://www.youtube.com/watch?v=UgiOtxBVwc8
玄奘：真實的唐僧到底有多強悍？孫悟空真的存在嗎？一切故事，從一場考古發現說起……|自說自話的總裁,https://www.youtube.com/watch?v=neQ4OjB7Prs
聊聊會員,#genre#
一項“蘇超”聯賽，13段歷史恩怨，爆火的足球賽事背後有哪些可以深挖的故事？龍山文化、楚漢爭霸、衣冠南渡、連霍鐵路……江蘇居然如此精彩｜總裁的杯中宇宙,https://www.youtube.com/watch?v=BI4X6sIJYEw
恐龍滅絕的恐怖真相，天地雙火是巧合還是早有預謀的補刀？為何KT線下3米無化石？人類兩派研究爭執不斷，最終卻看到了自己的命運......|自說自話的總裁,https://www.youtube.com/watch?v=0Go63moMqeQ
“人工”智能：builder.ai破産，AI獨角獸的自動生成代碼=無數程序員加班？超市自動結賬依靠收銀員盯監控？查閱曆史，原來令人哭笑不得的工人智能，從古至今一直在身邊......｜總裁聊聊,https://www.youtube.com/watch?v=dNrJrEC_B2I
先有大腦還是先有心智？耶魯教授用三場靈媒實驗告訴我們：活着隻是能量繫統中的一個狀態，靈魂與星光永恆同在......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=uhAie02W5kk
《古蘭經》記載了一座被詛咒的千柱之城，與神秘巨石有關？無數探險家身陷沙漠也要找到的烏巴城，是否真的存在......|總裁的杯中宇宙,https://www.youtube.com/watch?v=w7sF2VfWRJI
密歇根湖神秘三角區，無數船隻失蹤，水下卻探測出萬年前巨石陣，狩獵還是祭祀？難道與失蹤案有關......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=GWwlqqkemgA
純愛戰神、天才欺詐師！1925年，葡萄牙小伙用假鈔買下國有銀行？一己之力“騙”救葡萄牙與安哥拉兩國經濟。敗露後竟間接導致滅國......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=kJCUtiLvEJM
馬王堆挖出道教房中術的真相：真正存在的房中道具？一夜七十次的秘方？無獨有偶，印度的愛經竟然也有記載？兩萬八千年前就存在的小玩具長什麼樣……｜總裁的杯中宇宙,https://www.youtube.com/watch?v=z6A6SAcImg0
微觀辨水，辯火，超級記憶力，植物大師，精神病患者，水哥究竟有怎麼的故事，又是怎樣擁有這些超能力的呢......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=RVtn-dKEBDM
Rh陰性血：真正的紀錄大廳就在木乃伊體內？最突兀的血液基因，從克羅馬農尋找亞特蘭蒂斯的後裔....|總裁的杯中宇宙,https://www.youtube.com/watch?v=U9TsaxndWFs
疫情期間的都市傳説：身份無解的火箭背包人，6次被飛行員目擊；2000米高空飛行，是人類還是隱藏黑科技？｜總裁的杯中宇宙,https://www.youtube.com/watch?v=nW5r2gxpR6Q
