香港频道,#genre# 
翡翠台,https://smart.pendy.dpdns.org/Smart.php?id=jade_twn
翡翠台 backup,https://smart.pendy.dpdns.org/Smart.php?id=Jade_xue
iNews 新闻台,https://smart.pendy.dpdns.org/Smart.php?id=inews_twn
J 2,https://smart.pendy.dpdns.org/Smart.php?id=j2_twn
珍珠台,https://smart.pendy.dpdns.org/Smart.php?id=pearl_twn
凤凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
HOY资讯台,https://smart.pendy.dpdns.org/Smart.php?id=hoycaijing_twn
RHK 31,https://smart.pendy.dpdns.org/Smart.php?id=rhk31_twn
VIUTV1,https://smart.pendy.dpdns.org/Smart.php?id=viu1_twn
RHK 32,https://smart.pendy.dpdns.org/Smart.php?id=rhk32_twn
凤凰卫视,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
凤凰资讯,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
Viu6,https://smart.pendy.dpdns.org/Smart.php?id=viusix_twn

央视频道,#genre# 
CCTV-1 综合 HD,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV-2 财经,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV-3 综艺 HD,https://smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV-4 中文国际,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV4 新闻台,https://smart.pendy.dpdns.org/Smart.php?id=Cctv4
CCTV-5 体育频道,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV-6,https://smart.pendy.dpdns.org/Smart.php?id=cctv6
CCTV-7 军事农业,https://smart.pendy.dpdns.org/Smart.php?id=cctv7
CCTV-8 电视剧 HD,https://smart.pendy.dpdns.org/Smart.php?id=cctv8hd
CCTV-9 记录 HD,https://smart.pendy.dpdns.org/Smart.php?id=cctv9hd
CCTV-10 科教 HD,https://smart.pendy.dpdns.org/Smart.php?id=cctv10hd
CCTV-11 戏曲,https://smart.pendy.dpdns.org/Smart.php?id=cctv11
CCTV-12 社会与法,https://smart.pendy.dpdns.org/Smart.php?id=cctv12
CCTV-13 新闻频道,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV-14 少儿,https://smart.pendy.dpdns.org/Smart.php?id=cctv14
CCTV-6,https://smart.pendy.dpdns.org/Smart.php?id=cctv6
CCTV-15 音乐,https://smart.pendy.dpdns.org/Smart.php?id=cctv15

卫视频道,#genre# 
湖南卫视,https://smart.pendy.dpdns.org/Smart.php?id=hunan_twn
浙江卫视,https://smart.pendy.dpdns.org/Smart.php?id=zhejiang_twn
江苏卫视,https://smart.pendy.dpdns.org/Smart.php?id=jiangsu_twn
深圳卫视,https://smart.pendy.dpdns.org/Smart.php?id=shenzhen
福建东南卫视,https://smart.pendy.dpdns.org/Smart.php?id=fujian
广东南方卫视,https://smart.pendy.dpdns.org/Smart.php?id=nanfang_twn
广东卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangdongweishi_twn
北京卫视,https://smart.pendy.dpdns.org/Smart.php?id=beijing
珠江台,https://smart.pendy.dpdns.org/Smart.php?id=zhujiang
广西卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangxi
湖北卫视,https://smart.pendy.dpdns.org/Smart.php?id=hubei
四川卫视,https://smart.pendy.dpdns.org/Smart.php?id=sichuan_twn
东方卫视,https://smart.pendy.dpdns.org/Smart.php?id=dongfangweishi_twn
CGTN,https://smart.pendy.dpdns.org/Smart.php?id=CGTN

体育频道,#genre# 
Astro Premier League 1,https://smart.pendy.dpdns.org/Smart.php?id=go_assp1
Astro EPL 1 backup,https://smart.pendy.dpdns.org/Smart.php?id=go_assp1x
Astro Premier League 2,https://smart.pendy.dpdns.org/Smart.php?id=go_assp2
Astro Grandstand,https://smart.pendy.dpdns.org/Smart.php?id=go_assp3
Astro Football,https://smart.pendy.dpdns.org/Smart.php?id=go_assp4
Astro Sports Plus,https://smart.pendy.dpdns.org/Smart.php?id=go_sportsplus
Astro Badminton 1,https://smart.pendy.dpdns.org/Smart.php?id=go_badminton1
Astro Badminton 2,https://smart.pendy.dpdns.org/Smart.php?id=go_badminton2
Astro W-Sports,https://smart.pendy.dpdns.org/Smart.php?id=go_assp5
Supersports 1,https://smart.pendy.dpdns.org/Smart.php?id=Assp1
Supersports 2,https://smart.pendy.dpdns.org/Smart.php?id=Assp2
Supersports 3,https://smart.pendy.dpdns.org/Smart.php?id=Assp3
Supersports 4,https://smart.pendy.dpdns.org/Smart.php?id=Assp4
WWE,https://smart.pendy.dpdns.org/Smart.php?id=Wwe
Fight Sports,https://smart.pendy.dpdns.org/Smart.php?id=Fs
NBA TV,https://smart.pendy.dpdns.org/Smart.php?id=Nba
Astro Cricket,https://smart.pendy.dpdns.org/Smart.php?id=Acricket
Astro Golf,https://smart.pendy.dpdns.org/Smart.php?id=Agolf
Tnt Sports 1,https://smart.pendy.dpdns.org/Smart.php?id=6fac0aaead
TNT Sports 2,https://smart.pendy.dpdns.org/Smart.php?id=d9a76a79cc
TNT Sports 3,https://smart.pendy.dpdns.org/Smart.php?id=5fea4d73db
TNT Sports 4,https://smart.pendy.dpdns.org/Smart.php?id=tntsport4
Sony Ten 1,https://smart.pendy.dpdns.org/Smart.php?id=ten1_raj
Sony Ten 2,https://smart.pendy.dpdns.org/Smart.php?id=ten2_raj
Sony Ten 3,https://smart.pendy.dpdns.org/Smart.php?id=ten3_raj
SPOTV 1 HD,https://smart.pendy.dpdns.org/Smart.php?id=go_spotv
SPO TV 2,https://smart.pendy.dpdns.org/Smart.php?id=go_spotv2
Skysports F1,https://smart.pendy.dpdns.org/Smart.php?id=tiankongf1
Skysports Cricket,https://smart.pendy.dpdns.org/Smart.php?id=tiankongcricket
Skysports EPL,https://smart.pendy.dpdns.org/Smart.php?id=tiankongepl
Skysports Main Event,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmain
Skysports News,https://smart.pendy.dpdns.org/Smart.php?id=tiankongnews
Skysports Mix,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmix
爱尔达体育2台,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
爱尔达体育3台,https://smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
