Sydney,#genre#
 Seven,https://i.mjh.nz/.r/seven-syd.m3u8
 7two,https://i.mjh.nz/.r/7two-syd.m3u8
 7mate,https://i.mjh.nz/.r/7mate-syd.m3u8
 7flix,https://i.mjh.nz/.r/7flix-syd.m3u8
 Channel 9,https://i.mjh.nz/.r/channel-9-nsw.m3u8
 9Gem,https://i.mjh.nz/.r/gem-nsw.m3u8
 9Go!,https://i.mjh.nz/.r/go-nsw.m3u8
 9Life,https://i.mjh.nz/.r/life-nsw.m3u8
 9Rush,https://i.mjh.nz/.r/rush-nsw.m3u8
 ABC TV,https://c.mjh.nz/abc-nsw.m3u8
 10,https://i.mjh.nz/.r/10-nsw.m3u8
 10 BOLD,https://i.mjh.nz/.r/10bold-nsw.m3u8
 10 Peach,https://i.mjh.nz/.r/10peach-nsw.m3u8
 Nickelodeon,https://i.mjh.nz/.r/10shake-nsw.m3u8
 Snowy Mountains Television,https://i.mjh.nz/.r/snowy-mountains.m3u8
 KIIS 1065,https://i.mjh.nz/.r/radio-ih-6185.aac
 101.7 WSFM,https://i.mjh.nz/.r/radio-ih-6186.aac
 CADA,https://i.mjh.nz/.r/radio-ih-6179.aac
 ABC Radio Sydney,https://i.mjh.nz/.r/radio-ih-7135
 KIIS 90s,https://i.mjh.nz/.r/radio-ih-10069.aac
 WSFM 80s,https://i.mjh.nz/.r/radio-ih-10073.aac
 iHeartRadio Countdown AUS,https://i.mjh.nz/.r/radio-ih-6902.aac
 TikTok Trending on iHeartRadio,https://i.mjh.nz/.r/radio-ih-8876.aac
 Elf Radio,https://i.mjh.nz/.r/radio-ih-6440.aac
 iHeartDance,https://i.mjh.nz/.r/radio-ih-6941.aac
 The Bounce,https://i.mjh.nz/.r/radio-ih-6327.aac
 iHeartAustralia,https://i.mjh.nz/.r/radio-ih-7050.aac
 triple j,https://i.mjh.nz/.r/radio-ih-7115
 Double J,https://i.mjh.nz/.r/radio-ih-7090
 triple j Unearthed,https://i.mjh.nz/.r/radio-ih-7116
 fbi.radio,https://i.mjh.nz/.r/radio-ih-6311
 2SER,https://i.mjh.nz/.r/radio-ih-6324
 ABC NewsRadio,https://i.mjh.nz/.r/radio-ih-7110
 TICKER NEWS,https://i.mjh.nz/.r/radio-ih-9056.m3u8
 Radio National,https://i.mjh.nz/.r/radio-ih-7111
 ABC Sport,https://i.mjh.nz/.r/radio-ih-7112
 ABC AFL,https://i.mjh.nz/.r/radio-ih-9735
 ABC AFL Extra,https://i.mjh.nz/.r/radio-ih-10232
 ABC Sport Extra,https://i.mjh.nz/.r/radio-ih-10233
 ABC Classic,https://i.mjh.nz/.r/radio-ih-7118
 ABC Classic 2,https://i.mjh.nz/.r/radio-ih-7123
 Fine Music Sydney,https://i.mjh.nz/.r/radio-ih-6312.aacp
 ABC Jazz,https://i.mjh.nz/.r/radio-ih-7124
 ABC Country,https://i.mjh.nz/.r/radio-ih-7125
 iHeartCountry Australia,https://i.mjh.nz/.r/radio-ih-7222.aac
 KIX Country,https://i.mjh.nz/.r/radio-ih-9315.aac
 Woolworths Radio,https://i.mjh.nz/.r/radio-ih-9195
 Chemist Warehouse Remix,https://i.mjh.nz/.r/radio-ih-6178.aac
 ABC KIDS Listen,https://i.mjh.nz/.r/radio-ih-7967
 Radio Australia,https://i.mjh.nz/.r/radio-ih-8005
 SBS Radio 1,https://i.mjh.nz/.r/radio-ih-6998
 SBS Radio 2,https://i.mjh.nz/.r/radio-ih-7025
 SBS Arabic24,https://i.mjh.nz/.r/radio-ih-7030
 SBS Chill,https://i.mjh.nz/.r/radio-ih-7029
 SBS South Asian,https://i.mjh.nz/.r/radio-ih-7031
 SBS PopAsia,https://i.mjh.nz/.r/radio-ih-7028
 Koori Radio,https://i.mjh.nz/.r/radio-ih-9032.m3u8
 Vintage FM,https://i.mjh.nz/.r/radio-ih-8865
 Energy Groove,https://i.mjh.nz/.r/radio-ih-6329
 My88 FM,https://i.mjh.nz/.r/radio-ih-8866
 90.1 NBC FM,https://i.mjh.nz/.r/radio-ih-8677
 SWR 99.9 FM,https://i.mjh.nz/.r/radio-ih-9047.aac
 Starter FM,https://i.mjh.nz/.r/radio-ih-9353
 Pulse FM,https://i.mjh.nz/.r/radio-ih-9373
 Bondi Radio,https://i.mjh.nz/.r/radio-ih-7308
 Radio 2TripleO,https://i.mjh.nz/.r/radio-ih-9593.aac
 89.3FM 2GLF,https://i.mjh.nz/.r/radio-ih-9039.m3u8
 Triple H 100.1 FM,https://i.mjh.nz/.r/radio-ih-9660
 2RRR,https://i.mjh.nz/.r/radio-ih-9246.m3u8
 Hope 103.2,https://i.mjh.nz/.r/radio-ih-6314
 Hawkesbury Radio,https://i.mjh.nz/.r/radio-ih-9680
 Vision Christian Radio,https://i.mjh.nz/.r/radio-ih-9689.aac
 Alive 90.5FM,https://i.mjh.nz/.r/radio-ih-9600.aac
 Radio Blue Mountains,https://i.mjh.nz/.r/radio-ih-9364.aac
 Northside Radio,https://i.mjh.nz/.r/radio-ih-9436.aac
 2ME,https://i.mjh.nz/.r/radio-ih-10143
 TAFE Radio,https://i.mjh.nz/.r/radio-ih-8665.aac
 SURG,https://i.mjh.nz/.r/radio-ih-7354
 Connect FM 100.9,https://i.mjh.nz/.r/radio-ih-10135
 AndrewHaug.com Metal Radio,https://i.mjh.nz/.r/radio-ih-7421
 AFTRS FM,https://i.mjh.nz/.r/radio-ih-8717.m3u8
 The 90s iHeartRadio,https://i.mjh.nz/.r/radio-ih-6793.aac
 The 80s iHeartRadio,https://i.mjh.nz/.r/radio-ih-6794.aac
 Sky Sports Radio,https://i.mjh.nz/.r/radio-sky-sports-radio.m3u8
 smoothfm 95.3,https://i.mjh.nz/.r/radio-smoothfm-95-3
 2GB,https://i.mjh.nz/.r/radio-2gb
Melbourne,#genre#
 Seven,https://i.mjh.nz/.r/seven-mel.m3u8
 7two,https://i.mjh.nz/.r/7two-mel.m3u8
 7mate,https://i.mjh.nz/.r/7mate-mel.m3u8
 7flix,https://i.mjh.nz/.r/7flix-mel.m3u8
 Channel 9,https://i.mjh.nz/.r/channel-9-vic.m3u8
 9Gem,https://i.mjh.nz/.r/gem-vic.m3u8
 9Go!,https://i.mjh.nz/.r/go-vic.m3u8
