
『4✬K』,#genre#
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
咪咕体育4K,https://115.190.105.236/itv/3000000010000005180.m3u8?cdn=FifastbLive
至臻视界4K,https://115.190.105.236/itv/3000000010000015686.m3u8?cdn=FifastbLive
北京IPTV4K,http://115.190.105.236/bptv/3221226550.m3u8
CCTV4K-NP,https://115.190.105.236/nptv/cctv4k.m3u8
CCTV8K-NP,https://115.190.105.236/nptv/cctv8k.m3u8
欢笑剧场4K,http://120.46.177.235:90/cqyx.php?id=hxjc_4K
CCTV4K,http://120.46.177.235:90/cqyx.php?id=CCTV4K
CCTV16_4K,http://120.46.177.235:90/cqyx.php?id=CCTV16_4K
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
『央✬视』,#genre#
CCTV1,http://120.46.177.235:10000/hnuc.php?id=cctv1
CCTV2,http://120.46.177.235:10000/hnuc.php?id=cctv2
CCTV3,http://120.46.177.235:10000/hnuc.php?id=cctv3
CCTV4,http://120.46.177.235:10000/hnuc.php?id=cctv4
CCTV4欧洲,http://120.46.177.235:10000/hnuc.php?id=cctv4o
CCTV4美洲,http://120.46.177.235:10000/hnuc.php?id=cctv4a
CCTV5,http://120.46.177.235:10000/hnuc.php?id=cctv5
cctv5+,http://120.46.177.235:10000/hnuc.php?id=cctv5p
CCTV6,http://120.46.177.235:10000/hnuc.php?id=cctv6
CCTV7,http://120.46.177.235:10000/hnuc.php?id=cctv7
CCTV8,http://120.46.177.235:10000/hnuc.php?id=cctv8
CCTV9,http://120.46.177.235:10000/hnuc.php?id=cctv9
CCTV10,http://120.46.177.235:10000/hnuc.php?id=cctv10
CCTV11,http://120.46.177.235:10000/hnuc.php?id=cctv11
CCTV12,http://120.46.177.235:10000/hnuc.php?id=cctv12
CCTV13,http://120.46.177.235:10000/hnuc.php?id=cctv13
CCTV14,http://120.46.177.235:10000/hnuc.php?id=cctv14
CCTV15,http://120.46.177.235:10000/hnuc.php?id=cctv15
CCTV17,http://120.46.177.235:10000/hnuc.php?id=cctv17
CGTN,http://120.46.177.235:10000/hnuc.php?id=cgtn2
CCTV1-MG,https://115.190.105.236/mgtv/608807420.m3u8
CCTV2-MG,https://115.190.105.236/mgtv/631780532.m3u8
CCTV3-MG,https://115.190.105.236/mgtv/624878271.m3u8
CCTV4-MG,https://115.190.105.236/mgtv/631780421.m3u8
CCTV5-MG,https://115.190.105.236/mgtv/641886683.m3u8
CCTV5+-MG,https://115.190.105.236/mgtv/641886773.m3u8
CCTV6-MG,https://115.190.105.236/mgtv/624878396.m3u8
CCTV7-MG,https://115.190.105.236/mgtv/673168121.m3u8
CCTV8-MG,https://115.190.105.236/mgtv/624878356.m3u8
CCTV9-MG,https://115.190.105.236/mgtv/673168140.m3u8
CCTV10-MG,https://115.190.105.236/mgtv/624878405.m3u8
CCTV11-MG,https://115.190.105.236/mgtv/667987558.m3u8
CCTV12-MG,https://115.190.105.236/mgtv/673168185.m3u8
CCTV13-MG,https://115.190.105.236/mgtv/608807423.m3u8
CCTV14-MG,https://115.190.105.236/mgtv/624878440.m3u8
CCTV15-MG,https://115.190.105.236/mgtv/673168223.m3u8
CCTV16-NP,https://115.190.105.236/nptv/cctv16.m3u8
CCTV17-MG,https://115.190.105.236/mgtv/673168256.m3u8
CCTV4欧洲-MG,https://115.190.105.236/mgtv/608807419.m3u8
CCTV4美洲-MG,https://115.190.105.236/mgtv/608807416.m3u8
第一剧场-NP,https://115.190.105.236/nptv/dyjc.m3u8
风云剧场-NP,https://115.190.105.236/nptv/fyjc.m3u8
怀旧剧场-NP,https://115.190.105.236/nptv/hjjc.m3u8
老故事-MG,https://115.190.105.236/mgtv/884121956.m3u8
发现之旅-MG,https://115.190.105.236/mgtv/624878970.m3u8
中学生-MG,https://115.190.105.236/mgtv/708869532.m3u8
CGTN-NP,https://115.190.105.236/nptv/cgtn.m3u8
CGTN纪录-NP,https://115.190.105.236/nptv/cgtndoc.m3u8
CGTN俄语-NP,https://115.190.105.236/nptv/cgtnru.m3u8
CGTN法语-NP,https://115.190.105.236/nptv/cgtnfr.m3u8
CGTN西语-NP,https://115.190.105.236/nptv/cgtnsp.m3u8
CGTN阿语-NP,https://115.190.105.236/nptv/cgtnar.m3u8
CCTV1-BP,http://115.190.105.236/bptv/3221226895.m3u8
CCTV2-BP,http://115.190.105.236/bptv/3221226893.m3u8
CCTV3-BP,http://115.190.105.236/bptv/3221226471.m3u8
CCTV4-BP,http://115.190.105.236/bptv/3221226470.m3u8
CCTV5-BP,http://115.190.105.236/bptv/3221226469.m3u8
CCTV5+-BP,http://115.190.105.236/bptv/3221226894.m3u8
CCTV6-BP,http://115.190.105.236/bptv/3221226468.m3u8
CCTV7-BP,http://115.190.105.236/bptv/3221226234.m3u8
CCTV8-BP,http://115.190.105.236/bptv/3221226485.m3u8
CCTV9-BP,http://115.190.105.236/bptv/3221226236.m3u8
CCTV10-BP,http://115.190.105.236/bptv/3221226464.m3u8
CCTV11-BP,http://115.190.105.236/bptv/3221226463.m3u8
CCTV12-BP,http://115.190.105.236/bptv/3221226228.m3u8
CCTV13-BP,http://115.190.105.236/bptv/3221226316.m3u8
CCTV14-BP,http://115.190.105.236/bptv/3221226229.m3u8
