歌曲之九第一段,#genre#
韩明厚-长久的爱,http://em.21dtv.com/songs/60151839.mkv
靖哥哥-分手的时候,http://em.21dtv.com/songs/60151838.mkv
雷启飞-思念垫江,http://em.21dtv.com/songs/60151837.mkv
陈智全-活就要活得自在从容,http://em.21dtv.com/songs/60151836.mkv
陈星+张翔轩-决不回头,http://em.21dtv.com/songs/60151835.mkv
陈振云-爱心会,http://em.21dtv.com/songs/60151834.mkv
陈势安-俱伤,http://em.21dtv.com/songs/60151833.mkv
阿美-真想再次抚摸你的脸,http://em.21dtv.com/songs/60151832.mkv
金錿-演,http://em.21dtv.com/songs/60151831.mkv
金克成-梦想与现实的距离,http://em.21dtv.com/songs/60151829.mkv
金克成-妈妈我要去远方,http://em.21dtv.com/songs/60151828.mkv
郭德纲+岳云鹏+郭麒麟+张云雷-辈分歌,http://em.21dtv.com/songs/60151827.mkv
郭一橙-是谁偷走我的爱,http://em.21dtv.com/songs/60151826.mkv
邓海-快乐高尔夫,http://em.21dtv.com/songs/60151825.mkv
连诗雅-不会有事的,http://em.21dtv.com/songs/60151824.mkv
赖辉-我们在一起,http://em.21dtv.com/songs/60151823.mkv
贾桂森-爱已至此,http://em.21dtv.com/songs/60151822.mkv
蔡恩慧+蔡昕彤+邱志都+周宣-在最美的季节遇见你,http://em.21dtv.com/songs/60151821.mkv
萌萌哒天团-未来,http://em.21dtv.com/songs/60151820.mkv
莫日根-我在扎鲁特等你,http://em.21dtv.com/songs/60151819.mkv
莫文蔚-如初之光,http://em.21dtv.com/songs/60151818.mkv
莫小浪-爱情来了就是你,http://em.21dtv.com/songs/60151817.mkv
罗琦-重生,http://em.21dtv.com/songs/60151816.mkv
米雪-雪之恋歌,http://em.21dtv.com/songs/60151815.mkv
程诗迦-许愿,http://em.21dtv.com/songs/60151814.mkv
涓子-圆圆满满,http://em.21dtv.com/songs/60151813.mkv
流星-梦中的丽江,http://em.21dtv.com/songs/60151812.mkv
梅朵-想要忘记不容易,http://em.21dtv.com/songs/60151811.mkv
柯有伦-我问天,http://em.21dtv.com/songs/60151810.mkv
林琳-忙中有错,http://em.21dtv.com/songs/60151809.mkv
林玛黛-PLEASE COME HOME,http://em.21dtv.com/songs/60151808.mkv
林忆莲+林俊杰-江南,http://em.21dtv.com/songs/60151807.mkv
林忆莲-我好想你,http://em.21dtv.com/songs/60151806.mkv
林可昕-爱似仙人掌,http://em.21dtv.com/songs/60151805.mkv
林可昕-不要在我寂寞的时候说爱我,http://em.21dtv.com/songs/60151804.mkv
林可昕-不是因为寂寞才想你,http://em.21dtv.com/songs/60151803.mkv
林俊杰-知足,http://em.21dtv.com/songs/60151802.mkv
林俊杰-我们的爱,http://em.21dtv.com/songs/60151801.mkv
杰歌-幸福中国年,http://em.21dtv.com/songs/60151800.mkv
