中文新闻,#genre#
cctv4,https://www.youtube.com/watch?v=SdzewdkJa-o
cctv4美洲,https://www.youtube.com/watch?v=_JHbJc71p9Q
鳳凰資訊,https://www.youtube.com/live/LNux6O0Fj6A
国会频道,https://www.youtube.com/watch?v=4HysYHJ6GkY
国會頻道,https://www.youtube.com/watch?v=Lj8OWF6nzcg
國会頻道,https://www.youtube.com/watch?v=IvAXtzx5cUI
國會频道,https://www.youtube.com/watch?v=Af0TFVbxvAQ
國会频道,https://www.youtube.com/watch?v=Qo9QwuCpV3s
国會频道,https://www.youtube.com/watch?v=yUx5lB4mhZk
国会頻道,https://www.youtube.com/watch?v=tDg3bJFYLzI
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新闻,https://www.youtube.com/watch?v=Ej3LQM_lTEw
寰宇新闻°,https://www.youtube.com/watch?v=w87VGpgd90U
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
東森新闻,https://www.youtube.com/watch?v=E0zhe2gkXBs
東森財經,https://www.youtube.com/watch?v=AEBeWMM1atA
中天新闻,https://www.youtube.com/watch?v=vr3XyVCR4T0
中天深喉嚨,https://www.youtube.com/watch?v=DM_PEM8GrIg
三立新聞,https://www.youtube.com/watch?v=MV9mI0GChwo
三立新闻,https://www.youtube.com/watch?v=hGJkDZDchYI
三立inews,https://www.youtube.com/watch?v=pF507BLtbqU
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
tvbsNews,https://www.youtube.com/watch?v=2mCSYvcfhtc
tvbs News,https://www.youtube.com/watch?v=m_dhMSvUCIc
tvbs選新聞,https://www.youtube.com/watch?v=o_-hSMgpAzs
影视综艺,#genre#
4K,https://www.youtube.com/watch?v=vQP8AwAFzI8
四季線上,https://www.youtube.com/watch?v=sdtaF2gH9gc
四季线上,https://www.youtube.com/watch?v=GjXBXz5dl6E
4G缐上,https://www.youtube.com/live/sdtaF2gH9gc
大愛,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛2,https://www.youtube.com/watch?v=DTNkEm6jaqQ
中視綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
中视戲劇,https://www.youtube.com/watch?v=jkF7cseHZ5s
中視經典,https://www.youtube.com/watch?v=vdGQsHqYvlo
民視戲劇,https://www.youtube.com/watch?v=6CQZxYpW9q4
民视戲劇,https://www.youtube.com/watch?v=rTcTVZBZtYs
民視戏劇,https://www.youtube.com/watch?v=032kEdR9Lic
綜藝大熱門,https://www.youtube.com/watch?v=cpsP1wd-HgM
台視時光,https://www.youtube.com/watch?v=MEdYt10b2mc
三立電視,https://www.youtube.com/watch?v=0EgZW36EUZw
恶作剧之吻,https://www.youtube.com/watch?v=6lKL5znyZkc
現代嘉慶君,https://www.youtube.com/watch?v=E-SNFemPCrQ
天才衝衝衝,https://www.youtube.com/watch?v=QUcOMgw4srY
台灣靈異,https://www.youtube.com/watch?v=Nnpig_Lis9w
包青天,https://www.youtube.com/watch?v=UYWdZPJ_00U
男女对唱,https://www.youtube.com/watch?v=W3Axy3nJUgU  
男女對唱,https://www.youtube.com/watch?v=Q_BYTfKF2Zc
男女对唱°,https://www.youtube.com/watch?v=DYx6elXyQJ4
